id,Target
74249,0
35779,0
66769,0
27888,0
63306,0
33343,0
13069,0
62360,0
56443,1
29423,0
24702,0
67816,0
51270,0
11525,0
66121,0
10296,0
66828,1
28209,0
14489,0
3711,0
61376,0
83321,0
44099,0
71749,0
89324,0
28039,0
76879,0
69061,0
60067,0
13,1
56475,1
13860,0
27866,0
76809,0
10729,0
82110,0
50537,0
42798,0
25630,0
72334,0
30698,1
84724,0
59451,0
5764,0
59192,0
16175,0
51320,0
18799,0
72659,0
64230,0
25942,0
86123,0
75825,1
28495,1
1518,0
23747,0
39041,0
5878,0
55433,0
1519,0
83935,1
84838,0
79049,0
12549,0
69320,0
49213,1
48566,1
89165,1
13334,0
71545,0
66015,0
31327,0
30652,0
57325,0
33196,1
29450,1
33328,0
72149,0
83135,0
3691,0
52680,0
1396,0
198,0
89749,0
83084,0
23910,0
2681,0
59652,0
58086,0
1310,1
34794,0
19331,0
25928,0
86296,0
44481,0
85212,0
9634,0
10543,0
60860,0
248,0
24114,0
5017,0
75842,0
85024,0
4348,0
33096,0
47668,0
9802,1
82417,0
68759,1
62472,0
16903,0
85240,0
33914,0
9916,0
64098,0
67460,0
8174,0
78989,0
40616,1
38743,0
50602,0
5256,0
275,0
4918,0
66502,0
62147,1
65788,0
80558,0
35970,0
15484,1
45995,0
44586,0
81456,0
82933,0
22348,0
72381,0
21432,1
23500,0
44774,0
60203,0
2876,0
48033,0
81039,0
22860,0
48560,0
18310,0
884,0
7531,1
4372,0
45043,1
66552,0
11408,0
51470,0
35021,0
83100,0
46300,0
60339,0
26230,0
75012,0
82398,0
49166,0
52461,0
17994,0
10474,0
4708,0
64826,0
47873,0
60625,0
13098,0
55115,0
17874,0
40652,0
70264,0
19659,0
12500,0
88147,0
34613,0
49078,0
18110,0
82543,0
3280,0
9701,0
17581,0
56184,0
80326,0
62362,0
82123,0
68996,0
48111,0
11069,0
10647,0
34729,0
23214,1
78097,0
57488,0
60772,1
53959,1
20614,0
41811,0
12796,0
21156,0
8949,1
68873,0
40329,0
61250,0
72738,0
4507,0
50079,0
50966,0
53154,0
42574,0
62118,0
20882,0
35751,1
516,0
60061,0
80196,0
3396,0
48155,1
41450,0
10201,0
61790,0
51164,0
63593,0
36148,0
50316,0
31798,0
1524,0
77060,0
9657,0
75799,0
9457,0
33600,0
20252,0
21002,0
43371,0
71305,0
8085,0
1837,0
11005,1
53161,0
36181,0
4346,0
19608,0
78634,0
49217,0
53338,0
48936,0
47364,0
74385,0
14263,1
6052,0
20343,0
20779,0
7658,0
8668,1
81773,0
31937,0
5552,0
82572,1
45336,0
45635,0
22183,0
